device_id,device_serial_number,reading,time
26,877985985-2,69,13:36:51.000
23,362298470-8,93,13:41:19.000
18,617224559-7,167,13:54:07.000
89,080646030-X,165,14:55:55.000
74,946487469-4,44,13:26:35.000
97,571426115-1,10,13:13:25.000
44,765996045-8,86,14:15:56.000
41,064308691-9,194,13:22:39.000
35,468680474-4,117,13:04:47.000
34,377328388-1,100,13:48:22.000
24,196739193-9,140,13:42:35.000
75,629335650-0,172,14:01:48.000
58,903923163-X,120,14:27:56.000
69,713848319-8,30,14:16:42.000
21,789896640-6,158,14:43:05.000
26,560825785-5,45,14:52:14.000
45,157116460-X,36,13:50:24.000
7,471789567-3,18,14:12:03.000
92,289464263-6,149,14:26:56.000
40,744464323-7,26,13:14:08.000
1,393783026-X,74,13:41:09.000
63,789601828-4,95,14:52:32.000
23,334705606-X,91,13:51:12.000
8,213092076-4,69,13:25:57.000
72,704194468-9,96,13:44:39.000
29,788623676-9,50,13:45:36.000
40,872304485-3,161,14:35:37.000
56,417570747-6,97,14:28:32.000
17,503699891-X,93,14:39:26.000
56,288962621-0,173,14:09:16.000
9,309645528-7,76,13:01:27.000
49,587259888-2,197,13:05:34.000
39,228711990-6,4,13:39:31.000
29,629505715-2,86,13:23:11.000
25,680046664-6,146,13:46:10.000
43,254802850-X,84,14:10:27.000
75,136011263-4,22,13:36:13.000
12,082817354-0,3,13:24:57.000
26,827863676-1,37,14:58:36.000
92,456951703-X,171,14:47:23.000
10,279387793-X,158,13:31:12.000
2,298097347-5,71,14:50:45.000
82,925517236-0,79,13:10:56.000
84,200622948-6,21,14:16:01.000
59,507540216-X,6,14:08:36.000
23,792364757-7,100,14:43:38.000
66,167025019-9,181,14:19:02.000
84,444469324-X,67,14:05:56.000
62,423785767-0,113,13:27:04.000
42,654615961-9,29,13:59:34.000
99,198720515-4,59,14:23:02.000
22,252572436-4,143,13:55:22.000
46,110343304-0,20,13:20:37.000
66,628941221-3,168,14:17:14.000
71,569287504-7,88,14:10:59.000
90,261463066-7,31,14:53:30.000
75,749540897-9,106,13:18:59.000
91,674249421-2,102,14:19:10.000
84,403399879-9,111,14:53:20.000
31,032366493-8,12,14:00:54.000
49,591974574-6,54,14:46:26.000
10,969698127-9,171,14:01:06.000
13,167768219-1,171,14:26:21.000
91,114597880-0,82,14:46:37.000
64,033461515-1,25,14:31:38.000
26,090507133-6,54,13:39:41.000
25,995846997-9,81,13:36:03.000
93,630907327-3,182,13:56:26.000
64,465549374-7,50,14:58:04.000
59,719785891-7,52,14:36:35.000
69,272960994-6,134,14:57:47.000
87,469861212-8,35,13:23:16.000
65,015430024-1,180,14:13:16.000
79,503985930-9,75,13:19:02.000
99,159301965-3,139,13:46:25.000
85,985942473-X,187,14:38:52.000
95,749532701-4,104,14:02:12.000
76,174564216-1,199,13:22:34.000
42,340679828-4,35,14:56:59.000
86,830627849-6,162,14:36:22.000
23,114622018-9,93,13:07:09.000
39,369955340-X,171,13:44:10.000
69,234375729-1,117,14:04:59.000
77,278197163-4,37,14:20:18.000
66,820305298-3,151,13:15:33.000
45,662739443-X,191,13:09:31.000
64,295876329-3,11,14:11:28.000
29,323304756-8,58,13:50:11.000
12,129633943-2,186,14:00:01.000
89,636451739-0,101,14:36:32.000
9,632319918-1,91,13:16:47.000
84,602389021-0,179,13:22:46.000
61,933033436-9,188,14:56:45.000
42,645279926-6,33,14:55:41.000
45,827393859-X,162,13:00:37.000
22,697042485-5,159,13:55:00.000
3,996959789-2,157,13:51:51.000
24,545810043-3,86,13:11:03.000
10,011438619-6,92,14:15:10.000
67,477809450-6,53,13:27:58.000
35,512696940-4,173,13:59:05.000
27,617720911-4,60,14:00:46.000
91,352489301-5,190,13:17:44.000
12,973188294-4,93,14:39:25.000
31,120888217-1,4,14:28:03.000
87,914952049-0,191,14:13:00.000
95,796717392-9,135,14:44:59.000
74,688394070-7,197,13:29:32.000
55,764891602-9,51,14:07:41.000
94,950141168-0,141,13:32:19.000
59,195413678-1,131,13:18:06.000
67,736855782-7,22,14:02:05.000
70,805441140-5,164,14:03:50.000
26,655083488-0,194,14:42:14.000
24,456042192-7,196,14:15:30.000
86,210021454-3,24,13:33:21.000
19,421874145-X,149,13:04:08.000
100,123565028-6,183,14:02:25.000
88,844942137-3,23,14:27:08.000
24,165761468-9,123,14:39:36.000
72,313859361-5,111,14:17:03.000
20,770038669-2,29,13:24:51.000
75,906928766-8,141,13:05:21.000
41,766930464-2,92,13:14:15.000
34,676765288-1,100,13:32:32.000
46,486352044-1,3,14:37:18.000
34,798312732-4,119,13:06:13.000
39,848291111-2,163,13:20:31.000
46,672990211-6,77,13:15:50.000
67,070325584-3,47,14:03:31.000
2,873907461-7,104,13:31:08.000
81,352046793-3,75,14:46:25.000
84,030394819-1,141,13:39:25.000
73,632489757-5,110,14:02:00.000
40,192941827-2,171,13:28:08.000
99,646701493-6,59,13:34:55.000
89,794784182-9,93,14:08:08.000
69,333452500-7,194,14:48:46.000
19,956658986-7,159,14:37:22.000
78,637736554-3,169,14:53:20.000
47,426666445-1,139,13:14:20.000
24,296169668-2,144,14:48:26.000
23,827308229-6,21,13:36:14.000
43,449154852-8,194,13:15:02.000
97,627515067-X,82,13:50:31.000
72,352196905-3,183,14:46:30.000
64,666358966-0,130,13:31:04.000
96,026670071-3,48,14:37:34.000
75,442894082-3,56,13:44:07.000
38,789952622-1,122,14:35:28.000
80,336473480-1,122,13:29:05.000
11,809549406-2,120,14:22:47.000
68,404471697-8,24,14:09:54.000
23,248494582-5,27,14:12:29.000
20,096408810-X,137,13:47:04.000
39,290499598-6,44,14:36:51.000
43,257179803-0,122,13:30:19.000
54,580629660-1,186,14:55:24.000
44,815129531-7,109,14:09:44.000
17,154134998-9,108,13:13:02.000
9,778823763-9,34,14:04:06.000
44,139911864-1,112,13:11:58.000
55,595346806-7,194,13:55:31.000
4,208601826-6,146,14:42:26.000
34,681302694-1,57,13:04:00.000
53,594295826-2,48,14:24:28.000
91,985051919-3,64,14:32:42.000
96,654097096-X,91,14:37:58.000
96,573763916-9,10,14:56:04.000
7,210088851-X,42,14:03:46.000
96,582275742-1,138,13:17:55.000
4,746739318-0,30,14:11:21.000
37,190705956-3,49,13:29:11.000
27,493852885-1,68,13:33:54.000
38,609607838-9,93,14:03:48.000
58,404496533-1,162,14:22:15.000
11,343134851-3,16,13:29:47.000
85,103653623-8,183,14:14:00.000
85,825268318-5,37,13:22:16.000
17,955260578-4,50,14:25:20.000
53,525325395-5,50,14:12:50.000
25,261740773-X,93,14:54:45.000
48,532433549-5,107,14:16:54.000
25,966347181-6,177,14:19:22.000
98,401551705-9,174,14:51:01.000
34,190660916-0,131,14:47:14.000
47,485180111-4,85,13:35:17.000
70,085935915-8,167,13:33:01.000
70,377376833-8,162,14:14:46.000
22,347985184-3,198,14:41:05.000
60,600441494-8,93,14:55:40.000
12,047645883-8,107,13:06:48.000
70,452073045-7,189,14:56:30.000
5,474441293-9,147,14:09:32.000
51,814156262-2,24,13:02:18.000
64,464187292-9,3,13:29:36.000
32,003276397-2,131,14:08:28.000
98,076644781-2,148,13:13:56.000
35,945271362-3,172,14:03:44.000
29,381472271-X,167,13:11:15.000
36,686706751-4,145,14:19:19.000
93,845028372-8,80,13:43:31.000
43,529279326-4,130,13:37:49.000
70,743504992-1,121,13:02:16.000
63,766460597-0,154,13:08:58.000
84,178003260-9,119,13:40:09.000
61,772941297-7,91,14:22:14.000
59,632659015-9,102,13:37:12.000
8,350793484-1,141,14:48:08.000
18,085834698-2,143,13:48:31.000
13,265687975-2,131,14:18:51.000
19,267841874-X,64,13:20:54.000
1,669917437-1,88,13:35:27.000
18,134610184-1,196,13:38:21.000
15,495707645-6,50,14:03:55.000
62,523762812-5,31,14:50:13.000
100,917730180-3,5,14:35:35.000
99,317862740-5,1,13:51:17.000
2,590327947-3,182,13:23:47.000
67,657883549-0,71,13:58:34.000
12,161154064-X,136,14:52:33.000
64,054028500-5,82,13:31:57.000
7,515091606-4,116,14:11:15.000
51,134468848-9,167,14:24:39.000
66,121109847-8,172,14:10:48.000
37,365132204-1,131,14:36:48.000
25,919457888-5,117,14:31:05.000
56,668446566-9,19,13:39:04.000
30,063366159-7,173,13:12:20.000
39,521617147-9,119,14:46:19.000
40,411225897-6,52,14:15:26.000
93,255659717-8,180,14:20:40.000
27,100369373-3,117,13:50:53.000
27,296159530-4,100,14:56:52.000
84,274021631-9,81,14:46:00.000
63,337589043-5,14,14:43:30.000
70,055784669-2,94,13:36:56.000
26,794203846-7,120,14:42:55.000
1,203046318-3,145,14:21:02.000
66,880915488-6,48,14:00:39.000
79,592968871-0,76,14:49:53.000
10,076943832-6,54,14:03:20.000
61,766098054-8,114,14:01:29.000
68,866769055-4,33,13:21:04.000
51,468700530-6,172,14:35:36.000
32,036186067-6,5,13:42:12.000
53,246621782-1,164,13:06:59.000
2,504356973-5,122,14:18:13.000
67,208610907-5,29,13:28:22.000
93,911146930-7,118,14:56:53.000
53,555156712-5,9,14:18:34.000
98,598392023-5,199,14:30:20.000
57,544163228-3,86,13:21:49.000
41,799954483-3,90,14:52:29.000
59,874006073-X,122,14:23:47.000
7,386614048-7,50,13:26:49.000
63,482154045-2,45,14:03:08.000
83,404338630-3,81,14:11:36.000
80,244394835-8,150,14:44:07.000
84,432161260-8,141,14:23:34.000
88,105846703-4,39,14:41:42.000
55,199976627-X,97,13:12:40.000
65,505141574-1,162,14:58:25.000
77,909766323-7,148,13:34:15.000
100,946564944-9,66,14:29:59.000
6,997870312-8,20,13:32:41.000
41,971102989-8,63,13:17:02.000
4,193328182-0,186,13:29:26.000
74,789170072-9,112,14:40:53.000
7,341832143-7,111,14:50:38.000
84,251413710-1,157,14:04:21.000
46,342182131-3,133,14:48:29.000
17,618915829-3,100,14:08:12.000
20,950568897-0,68,14:57:17.000
11,105797331-9,16,14:48:46.000
87,867347469-8,11,14:35:45.000
47,628723968-9,118,14:07:13.000
3,637193239-X,134,14:12:42.000
22,077250475-X,181,13:28:58.000
59,049907295-2,48,14:56:32.000
84,811707363-3,38,14:16:06.000
11,100185947-2,42,14:44:55.000
45,216124930-4,139,13:20:17.000
18,748235997-4,170,14:11:52.000
59,908512511-1,57,14:40:55.000
100,450492233-9,190,13:19:49.000
90,867834477-6,80,14:12:51.000
11,733788523-7,61,13:24:12.000
44,639963946-8,83,14:12:37.000
3,321401774-8,195,13:51:58.000
20,058035568-3,49,13:12:03.000
95,435322440-9,61,13:29:49.000
3,398477895-3,140,14:07:06.000
11,476930019-0,69,13:56:29.000
62,599894840-8,131,13:41:20.000
11,804389196-6,114,14:06:47.000
86,222723523-3,30,14:24:33.000
22,437931267-4,156,14:01:45.000
42,509760735-X,58,14:25:55.000
27,087741796-2,15,13:11:56.000
38,996415377-5,192,13:34:38.000
86,850969870-8,171,13:59:06.000
53,320937655-7,75,13:41:02.000
11,421089082-0,146,14:58:22.000
26,210532634-X,29,13:23:50.000
35,059927089-6,3,14:16:47.000
33,082704798-3,29,13:58:26.000
43,663716072-5,79,14:15:06.000
48,877479390-X,16,13:48:08.000
84,657728429-6,87,14:39:30.000
56,144613479-2,97,13:02:50.000
62,472078948-X,162,13:58:32.000
51,824946730-2,152,13:35:41.000
87,028467509-1,12,14:31:42.000
31,079301046-2,179,13:10:56.000
78,866922082-2,167,14:37:49.000
59,764007054-6,80,13:15:32.000
83,104905013-4,56,14:28:54.000
25,049608260-4,28,13:39:12.000
34,810196945-4,94,13:37:30.000
93,168870237-7,153,14:19:47.000
97,103976704-4,155,13:40:02.000
22,878536704-4,83,14:33:43.000
19,709080746-0,22,14:36:59.000
28,370603827-7,92,14:48:13.000
76,637855939-2,57,13:45:05.000
87,787861370-2,0,14:30:35.000
26,340287414-8,165,13:57:04.000
70,611619238-6,182,14:45:13.000
49,200576373-X,10,14:52:14.000
71,648614920-5,51,13:32:05.000
90,216303905-6,22,13:35:58.000
80,647170392-9,149,13:59:29.000
1,359356407-6,130,14:33:07.000
54,789363423-5,68,14:15:56.000
70,551485154-0,120,14:54:31.000
82,987871022-X,106,13:08:28.000
99,618208621-1,114,14:18:12.000
90,045585516-1,137,13:50:04.000
44,814346615-9,179,13:46:06.000
75,420583295-8,107,13:33:29.000
24,529947739-2,177,13:24:25.000
56,334493129-6,15,14:41:32.000
94,102984359-7,8,13:16:33.000
87,649600936-8,109,13:26:59.000
68,473342644-5,66,14:43:28.000
45,379207956-9,151,14:44:33.000
89,702891044-X,31,13:24:50.000
49,452067734-3,131,14:42:02.000
9,407538947-2,182,13:42:04.000
77,062298312-1,126,14:46:09.000
8,666645472-3,43,14:38:18.000
52,575142745-9,190,13:47:47.000
4,082792247-7,69,13:33:12.000
94,483013926-9,153,13:44:43.000
37,324300812-3,72,13:36:28.000
90,147611243-6,6,14:12:05.000
3,454511222-6,147,14:20:00.000
68,588776912-2,162,13:00:10.000
13,519857483-X,150,14:08:34.000
49,870632906-3,125,13:14:19.000
100,723739668-4,116,13:54:55.000
89,472468913-7,101,14:09:03.000
47,899252386-6,128,13:35:41.000
89,217846767-9,81,13:58:52.000
38,522915339-3,179,13:11:30.000
22,240426944-5,25,13:04:40.000
81,147643253-8,188,14:58:16.000
74,410622517-4,110,14:53:55.000
85,117680382-4,44,13:35:01.000
87,753291975-7,88,13:27:34.000
36,577417266-X,76,14:20:02.000
19,436828852-1,121,14:08:19.000
57,214153383-X,17,13:16:22.000
70,417296787-6,135,13:53:09.000
64,588376648-X,2,13:21:27.000
28,205968433-1,74,14:22:44.000
70,421385884-7,5,13:49:02.000
7,489833673-6,54,14:07:12.000
74,306769774-X,132,14:06:40.000
77,692322996-0,101,14:52:21.000
64,586870062-7,123,14:02:52.000
58,207737925-1,182,13:30:48.000
86,560188867-1,17,14:40:49.000
60,795394585-1,170,14:10:19.000
66,214734303-X,43,13:21:04.000
50,242651604-6,39,13:48:01.000
48,861714155-7,149,14:33:02.000
88,580515852-3,13,14:30:39.000
86,473519184-4,37,13:49:07.000
69,792937050-X,72,14:05:25.000
13,729062385-1,73,13:30:27.000
56,002315170-6,113,13:48:38.000
52,577042349-8,166,14:44:41.000
15,388377912-1,40,13:39:01.000
53,038958008-2,124,14:38:26.000
36,461996432-8,82,13:58:01.000
39,226038869-8,99,14:56:31.000
80,135766392-7,160,13:19:22.000
80,852260073-2,120,13:08:47.000
62,840879137-0,78,13:45:26.000
57,706059131-1,36,14:06:30.000
43,958535314-8,124,14:10:08.000
13,055225391-X,132,14:12:45.000
11,847329895-0,143,13:47:47.000
64,745797312-5,23,14:01:33.000
46,282550731-8,108,13:08:14.000
54,281991705-4,81,14:39:17.000
30,816276620-0,105,13:29:13.000
26,170843662-6,141,14:57:11.000
88,440910023-8,155,13:30:50.000
44,208129216-5,22,14:23:20.000
36,173681829-5,131,13:10:13.000
41,561873816-3,25,14:25:21.000
10,808457735-2,91,13:59:30.000
14,183654137-6,61,14:00:11.000
55,397389876-6,126,13:56:53.000
2,391418372-1,178,14:47:37.000
10,459800644-7,130,13:24:54.000
23,965769818-9,136,14:11:49.000
41,667256283-4,151,14:46:06.000
26,430893572-5,168,13:13:41.000
5,809110109-0,186,13:55:15.000
52,252709490-2,85,14:29:35.000
10,347903756-9,56,14:26:42.000
52,478330426-2,135,14:34:11.000
35,152291606-7,70,13:38:09.000
38,870718965-6,98,14:17:53.000
1,296924207-9,90,13:17:48.000
91,183940581-3,131,13:12:16.000
49,962185612-4,171,13:06:12.000
17,460078723-4,85,14:50:01.000
42,486105338-2,90,14:41:07.000
52,001671088-6,194,13:42:54.000
6,494019900-2,159,14:57:03.000
73,272494305-8,91,14:47:36.000
44,236798078-0,74,14:58:47.000
89,239081144-2,92,13:30:16.000
46,101090016-1,193,13:18:13.000
75,889171247-7,71,14:44:40.000
17,358032368-7,169,13:38:10.000
46,833511573-7,49,14:48:08.000
8,745164825-7,168,14:20:01.000
40,623890681-2,94,14:38:21.000
69,714973153-8,150,14:20:48.000
100,782140918-9,113,14:52:21.000
21,775799529-9,155,14:41:38.000
61,528576270-7,160,14:30:18.000
2,901262908-X,183,14:02:21.000
57,376652515-8,124,14:09:41.000
32,044979170-X,93,13:15:38.000
92,163501271-6,76,13:56:14.000
50,944732087-2,27,13:32:08.000
71,075011328-6,161,13:06:19.000
74,389463791-9,137,13:44:56.000
32,020329048-8,4,13:37:44.000
54,788420220-4,145,14:49:11.000
58,588707739-5,106,14:48:25.000
79,081790165-5,111,13:54:41.000
20,194327151-8,64,13:20:38.000
10,777446145-0,104,13:53:02.000
91,866632787-1,59,14:54:09.000
79,689724757-X,109,14:56:27.000
5,951903734-9,199,14:21:15.000
30,778426668-5,1,14:37:28.000
32,847596577-6,166,13:19:51.000
55,204011160-3,107,14:30:49.000
20,258289613-6,23,14:50:47.000
54,542534093-1,126,14:41:03.000
18,621263142-5,17,14:09:57.000
38,148526455-3,93,13:00:37.000
84,531634631-9,141,13:30:54.000
96,814544560-4,123,14:49:54.000
42,209792209-0,118,13:06:17.000
52,426711468-4,23,14:20:06.000
86,234244245-9,49,14:02:47.000
83,237301267-7,102,14:14:07.000
90,517474521-9,164,13:20:39.000
7,934707301-6,172,14:05:09.000
93,694493442-6,70,14:53:46.000
98,467250879-X,24,14:04:41.000
41,424319787-3,104,13:42:32.000
29,410656975-2,133,13:26:17.000
97,257093479-8,1,14:54:13.000
11,028605479-5,108,13:36:43.000
83,682967716-5,52,13:36:51.000
54,649043755-4,96,14:42:28.000
78,365161462-X,0,13:36:29.000
9,203296802-9,184,13:18:59.000
22,546463482-7,15,13:26:58.000
95,439776870-6,41,14:11:36.000
94,614163311-0,82,14:51:07.000
9,249195081-2,152,13:24:46.000
65,439789133-8,79,14:39:49.000
73,955040159-6,71,14:20:40.000
95,220680369-0,37,13:34:10.000
19,821133399-6,170,14:44:00.000
4,493792034-0,162,14:53:48.000
15,458211052-5,153,14:13:05.000
13,249094596-3,3,14:51:10.000
67,536028033-6,74,13:23:06.000
18,502457728-0,6,13:48:03.000
91,716172915-7,191,14:12:17.000
21,464001273-X,182,14:14:58.000
1,692938565-4,188,13:21:09.000
79,765903474-X,54,14:18:02.000
57,998645652-5,111,14:51:42.000
78,137973085-6,70,13:06:28.000
78,515763162-6,146,14:22:23.000
66,682745462-2,102,13:23:28.000
10,127787760-2,132,14:35:55.000
28,807321326-5,144,14:36:44.000
3,425074097-8,103,13:18:07.000
80,110518974-0,66,13:35:38.000
34,238344959-8,6,13:33:02.000
35,016873127-4,38,13:22:49.000
87,853382587-0,132,13:54:45.000
78,900865264-1,51,13:42:29.000
88,527328736-7,99,13:39:31.000
78,532781179-4,187,13:46:56.000
35,985482915-4,196,14:07:21.000
33,679260509-3,92,14:33:09.000
93,569113312-8,192,13:36:04.000
42,868183262-X,111,14:11:32.000
40,616578799-1,32,14:12:17.000
42,112417700-0,39,14:01:00.000
67,862196874-6,60,13:14:14.000
5,495462613-7,183,13:54:47.000
91,303805272-8,143,14:44:29.000
89,333682198-3,46,13:14:52.000
79,745038194-X,190,13:20:41.000
36,038626812-6,190,13:10:13.000
12,370996676-0,31,14:55:59.000
2,614936184-5,182,14:51:03.000
81,560910334-7,129,13:51:04.000
58,446313231-2,188,14:50:39.000
83,775471203-2,28,13:15:47.000
17,891050088-3,35,14:23:04.000
85,506168200-9,44,13:39:12.000
53,788387168-4,29,14:36:02.000
31,214824267-9,120,14:55:45.000
87,412447117-3,46,14:03:57.000
81,234035475-7,180,14:36:46.000
38,331271017-0,181,14:50:46.000
17,339922724-8,38,14:52:41.000
55,270631335-8,197,14:25:24.000
45,327877394-2,182,13:17:13.000
79,880605471-6,152,13:36:27.000
85,870461699-5,33,13:44:07.000
63,446670434-1,190,13:27:27.000
27,165725239-6,121,14:08:36.000
74,576570556-1,168,13:19:47.000
84,800767569-8,113,14:06:55.000
56,863319407-4,4,13:45:46.000
1,374992859-2,28,13:47:03.000
20,398792104-8,161,13:21:17.000
86,106388278-8,142,14:51:02.000
35,125048791-9,23,14:49:17.000
63,600917392-2,44,14:09:28.000
32,795534971-7,154,13:16:10.000
95,440073398-X,149,13:29:15.000
34,747285495-6,154,13:26:20.000
94,636065780-5,163,13:35:12.000
1,567419692-3,73,14:00:01.000
92,829472220-0,39,14:19:39.000
83,160678298-3,158,13:07:38.000
42,751489044-0,76,13:04:10.000
22,278050584-2,136,14:02:51.000
82,181065248-0,166,14:48:05.000
65,015491773-7,116,14:17:31.000
6,177096362-6,141,14:05:19.000
35,847095725-2,195,14:52:09.000
67,964375087-6,69,14:55:31.000
48,508803505-5,12,13:26:56.000
46,473485699-0,53,13:05:18.000
49,509154893-9,182,14:50:15.000
23,447597865-3,111,14:24:32.000
33,808347922-5,132,13:03:21.000
55,056309493-1,14,13:31:08.000
51,860533212-3,121,14:54:48.000
43,677534415-5,27,13:15:55.000
96,537957830-6,159,14:02:38.000
96,535348851-2,162,14:46:32.000
53,239768519-1,44,13:24:10.000
89,553163927-9,159,13:59:40.000
85,031657255-1,142,13:16:26.000
24,852934547-9,95,13:01:15.000
9,461784153-9,64,14:47:52.000
3,898062204-X,82,13:34:00.000
22,731370263-9,175,13:30:23.000
23,639300770-2,112,13:31:30.000
58,864997382-5,78,14:08:43.000
24,537947440-3,183,14:40:44.000
35,305932990-7,33,13:54:38.000
58,294876060-7,110,14:51:27.000
50,057610733-6,65,14:29:04.000
9,563536928-6,75,13:49:36.000
91,302519765-X,195,14:30:58.000
25,754427998-7,33,14:34:46.000
65,793376601-3,187,14:48:48.000
49,938868618-7,184,14:07:32.000
56,052727311-2,197,13:46:29.000
39,283676523-2,193,13:11:23.000
48,264881237-7,180,14:43:16.000
43,591067016-6,92,14:43:08.000
76,937143297-7,96,14:57:29.000
54,360272043-8,135,14:33:08.000
15,028672601-7,125,14:43:56.000
65,121523570-4,116,13:04:40.000
50,685729479-8,78,14:19:41.000
21,948639381-8,173,14:03:12.000
54,087629440-9,10,14:40:37.000
70,800181488-2,70,13:50:59.000
17,767730702-7,145,13:32:24.000
24,635809000-3,97,14:01:58.000
48,626132237-6,163,14:23:04.000
32,996806492-0,50,14:17:28.000
95,190245615-7,30,14:35:03.000
26,028133483-8,183,13:45:41.000
69,222423949-1,131,13:14:30.000
59,072354212-0,32,13:36:39.000
54,449612862-4,188,14:54:09.000
90,925812752-8,37,13:46:01.000
1,216486398-4,62,14:13:35.000
10,192759477-4,9,14:15:45.000
88,967439690-X,20,13:53:46.000
25,187918549-0,152,13:08:57.000
53,491656711-0,10,13:50:16.000
5,881380568-3,191,13:48:50.000
48,648508877-6,164,14:52:06.000
86,128783942-8,117,14:13:20.000
23,940736708-8,66,13:11:23.000
53,609722573-3,66,13:13:34.000
54,980309558-7,182,14:52:35.000
99,914796731-5,76,13:21:57.000
76,089562358-7,57,13:52:09.000
13,318559578-5,26,14:13:43.000
80,797001802-5,39,13:55:12.000
70,602271823-6,167,13:05:54.000
25,629850770-1,65,14:19:22.000
61,104612582-6,137,14:48:50.000
30,554480946-1,163,14:31:15.000
25,328795838-0,139,13:27:54.000
66,253875013-X,196,13:45:45.000
14,236695877-3,46,14:33:57.000
60,357355236-6,16,13:21:25.000
23,638066463-7,175,14:06:52.000
73,529809479-1,45,13:13:08.000
37,072270069-5,106,14:45:02.000
66,462408324-5,118,13:21:50.000
1,188869349-5,4,14:49:11.000
20,723440822-3,54,13:47:31.000
57,042188746-X,73,14:03:39.000
